name	url	tags	category	type	description
shift_operator	https://github.com/tercen/shift_operator	data transformation	Basic data transformation	R	shift operator performs a shift by a constant value.
max_operator	https://github.com/tercen/max_operator	basic statistics	Basic statistics	R	
sample_operator	https://github.com/tercen/sample_operator	sampling	Basic operations	R	
asinh_operator	https://github.com/tercen/asinh_operator	data transformation	Basic data transformation	R	
upperandlowerbounds_operator	https://github.com/tercen/upperandlowerbounds_operator	basic statistics	Basic statistics	R	
snca_operator	https://github.com/tercen/snca_operator			R	snca operator calculates a single non compartamental model for a dose/time series.
subtract_operator	https://github.com/tercen/subtract_operator	operation	Basic operations	R	
median_operator	https://github.com/tercen/median_operator	basic statistics	Basic statistics	R	
pca_operator	https://github.com/tercen/pca_operator	dimensionality reduction, flow cytometry, genomics	Dimensionality reduction and clustering	R	
percentile_operator	https://github.com/tercen/percentile_operator	basic statistics	Basic statistics	R	
oldflowsom_operator	https://github.com/tercen/oldflowsom_operator	flow cytometry	Flow Cytometry	R	obsolete
rphenograph_operator	https://github.com/tercen/rphenograph_operator	clustering	Flow Cytometry	R	
calcnormfactors_operator	https://github.com/tercen/calcnormfactors_operator			R	
anova_operator	https://github.com/tercen/anova_operator	statistics, linear model, test	Statistical testing	R	
sd_operator	https://github.com/tercen/sd_operator	basic statistics	Basic statistics	R	
boxplot_shiny_operator	https://github.com/tercen/boxplot_shiny_operator	data visualisation	Data visualisation	shiny	
cytonorm_operator	https://github.com/tercen/cytonorm_operator	flow cytometry	Flow Cytometry	R	
foldchange_operator	https://github.com/tercen/foldchange_operator			R	
cv_operator	https://github.com/tercen/cv_operator	basic statistics	Basic statistics	R	
MEM_operator	https://github.com/tercen/MEM_operator			R	
signchange_operator	https://github.com/tercen/signchange_operator	data transformation	Basic data transformation	R	
basechange_operator	https://github.com/tercen/basechange_operator			R	
gfr_operator	https://github.com/tercen/gfr_operator			R	
damacy_operator	https://github.com/tercen/damacy_operator			R	
constant_operator	https://github.com/tercen/constant_operator	operation	Basic operations	R	constant operator allows for a value equal to a constant to be generated
pearson_operator	https://github.com/tercen/pearson_operator	basic statistics	Basic statistics	R	
product_operator	https://github.com/tercen/product_operator	operation	Basic operations	R	
readxl_operator	https://github.com/tercen/readxl_operator	file conversion	file conversion	R	
log_operator	https://github.com/tercen/log_operator	data transformation	Data transformation	R	
impute_operator	https://github.com/tercen/impute_operator	data transformation	Data transformation	R	
nca_operator	https://github.com/tercen/nca_operator	NA	NA	R	NA
vsn_operator	https://github.com/tercen/vsn_operator			R	
density_operator	https://github.com/tercen/density_operator			R	
scale_operator	https://github.com/tercen/scale_operator	data transformation	Data transformation	R	
MDS_operator	https://github.com/tercen/MDS_operator	clustering, dimensionality reduction	Dimensionality reduction and clustering	R	
flowsomtuning_operator	https://github.com/tercen/flowsomtuning_operator	flow cytometry	Flow Cytometry	R	
diffcyt_operator	https://github.com/tercen/diffcyt_operator	flow cytometry	Flow Cytometry	R	
flowai_operator	https://github.com/tercen/flowai_operator	flow cytometry	Flow Cytometry	R	
umap_operator	https://github.com/tercen/umap_operator	clustering, dimensionality reduction	Dimensionality reduction and clustering	R	
normalyzer_operator	https://github.com/tercen/normalyzer_operator	RNAseq, genomics	RNA sequencing	R	
sum_operator	https://github.com/tercen/sum_operator	basic statistics	Basic statistics	R	
randomlabel_operator	https://github.com/tercen/randomlabel_operator	annotation	Basic operations	R	
topn_operator	https://github.com/tercen/topn_operator	operation	Basic operations	R	
RMSD_operator	https://github.com/tercen/RMSD_operator	distance, error	Pairwise distances	R	
annotation_operator	https://github.com/tercen/annotation_operator	annotation	Basic operations	R	
fcs_operator	https://github.com/tercen/fcs_operator			R	
neighbourhood_operator	https://github.com/tercen/neighbourhood_operator			R	
ttest_operator	https://github.com/tercen/ttest_operator	statistics, test	Statistical testing	R	
fgsea_operator	https://github.com/tercen/fgsea_operator	RNAseq, genomics	RNA sequencing	R	
lm_operator	https://github.com/tercen/lm_operator	statistics, linear model, test	Statistical testing	R	
somflow_operator	https://github.com/tercen/somflow_operator	flow cytometry	Flow Cytometry	R	
twogroupttest_operator	https://github.com/tercen/twogroupttest_operator	statistics, test	Statistical testing	R	
count_operator	https://github.com/tercen/count_operator	basic statistics	Basic statistics	R	
wordcount_operator	https://github.com/tercen/wordcount_operator	operation	Basic operations	R	
ratio_operator	https://github.com/tercen/ratio_operator	operation	Basic operations	R	
tsne_operator	https://github.com/tercen/tsne_operator	dimensionality reduction, flow cytometry, genomics	Dimensionality reduction and clustering	R	
flowsom_operator	https://github.com/tercen/flowsom_operator	flow cytometry	Flow Cytometry	R	
IQR_operator	https://github.com/tercen/IQR_operator	basic statistics	Basic statistics	R	
mean_operator	https://github.com/tercen/mean_operator	basic statistics	Basic statistics	R	
negative_operator	https://github.com/tercen/negative_operator	data transformation	Data transformation	R	
seqlen_operator	https://github.com/tercen/seqlen_operator	annotation	Basic operations	R	
pairwise_RMSD_operator	https://github.com/tercen/pairwise_RMSD_operator	distance, error	Pairwise distances	R	
mean_sd_operator	https://github.com/tercen/mean_sd_operator	basic statistics	Basic statistics	R	
template_docker_operator	https://github.com/tercen/template_docker_operator	template	Template	Docker	Template
atsne_docker_operator	https://github.com/tercen/atsne_docker_operator	dimensionality reduction, flow cytometry, genomics	Dimensionality reduction and clustering	Docker	
shiny_heatmap_operator	https://github.com/tercen/shiny_heatmap_operator	data visualisation	Data visualisation	Shiny	
scRNAseq_normalisation_operator	https://github.com/tercen/scRNAseq_normalisation_operator	scRNAseq	RNA sequencing	R	
scRNAseq_QC_operator	https://github.com/tercen/scRNAseq_QC_operator	scRNAseq	RNA sequencing	R	
fast_tSNE_operator	https://github.com/tercen/fast_tSNE_operator	dimensionality reduction, flow cytometry, genomics	Dimensionality reduction and clustering	R	
templateR_operator	https://github.com/tercen/templateR_operator	template	Template	R	Template
worldmap_shiny_docker_operator	https://github.com/tercen/worldmap_shiny_docker_operator	map, visualisation	Data visualisation	Docker	
mixed_model_operator	https://github.com/tercen/mixed_model_operator	statistics, linear model, test	Statistical testing	R	
venn_shiny_operator	https://github.com/tercen/venn_shiny_operator	overlap, visualisation	Data visualisation	Shiny	
shiny_boxplot_operator	https://github.com/tercen/shiny_boxplot_operator	distribution, visualisation	Data visualisation	Shiny	
cellplot_shiny_operator	https://github.com/tercen/cellplot_shiny_operator	genomics, clustering	Data visualisation	Shiny	
rfImp_operator	https://github.com/tercen/rfImp_operator			R	
flowsom_mst_shiny_operator	https://github.com/tercen/flowsom_mst_shiny_operator	flow cytometry, data visualisation	Flow Cytometry	R	
shiny_docker_operator	https://github.com/tercen/shiny_docker_operator	template	Template	Docker	Template
template_shiny_operator	https://github.com/tercen/template_shiny_operator	template	Template	Shiny	Template
clusterx2_operator	https://github.com/tercen/clusterx2_operator	clustering, dimensionality reduction	Dimensionality reduction and clustering	R	
scRNAseq_feature_selection_operator	https://github.com/tercen/scRNAseq_feature_selection_operator	scRNAseq	RNA sequencing	R	
DESeq2_two_conditions_operator	https://github.com/tercen/DESeq2_two_conditions_operator	scRNAseq	RNA sequencing	R	
fast_tSNE_docker_operator	https://github.com/tercen/fast_tSNE_docker_operator	dimensionality reduction, flow cytometry, genomics	Dimensionality reduction	R	
